stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4015,TRTCTS2,RESTON TOWN CTR TRANSIT STATION,BLUEMONT WY & EXPLORER ST,38.957166,-77.359291,,,,
4016,ANEA2,ARMY NAVY @ EADS,ARMY NAVY DR & S EADS ST,38.864972,-77.054659,,,,
4017,SC263,S CLARK @ 26TH,S CLARK ST & S EADS ST,38.850064,-77.05234,,,,
4020,FIEA,15TH @ EADS,15TH ST S & S EADS ST,38.859803,-77.053748,,,,
4025,PGAMB,PNR GAMBRILL,GAMBRILL RD & HOOES RD,38.755234,-77.232724,,,,
4027,LMLO9,LORTON MARKET @ SHOPPERS,LORTON MARKET ST,38.703177,-77.221287,,,,
4028,LMGC9,LORTON MARKET @ SHOPPERS,LORTON MARKET ST & LORTON STATION SOUTH CE,38.703123,-77.221078,,,,
4041,FHOSP9,FAIRFAX HOSPITAL,FAIRFAX HOSPITAL MAIN ENTRANCE,38.857345,-77.22768,,,,
4045,PSTR,PNR STRINGFELLOW RD BAY A,STRINGFELLOW PARK & RIDE & STRINGFELLOW RD,38.853413,-77.404172,,,,
4047,PCENA,PNR CENTREVILLE @ STONE RD BAY A,STONE RD & LEE HY,38.835759,-77.455111,,,,
4048,PSLYA,PNR SULLY STATION BAY A,SULLY STATION PARK & RIDE & STONECROFT BV,38.87078,-77.450303,,,,
4049,PCMHA,PNR CENTREVILLE UNITED METH CHURCH,OLD CENTREVILLE RD & PARKING LOT,38.825681,-77.438629,,,,
4050,LELJ4,LEE RD @ CHANTILLY CROSSING,LEE RD & CHANTILLY CROSSING LA,38.897884,-77.447077,,,,
4051,AVLJ1,AVION PW @ LEE JACKSON MEMORIAL,AVION PW & LEE JACKSON MEMORIAL HY,38.904522,-77.448872,,,,
4052,BROH3,BRADDOCK @ ORCHARD HILL,BRADDOCK RD & ORCHARD HILL LA,38.832958,-77.415286,,,,
4053,BRBS4,BRADDOCK @ BRADDOCK SPRINGS,BRADDOCK RD & BRADDOCK SPRINGS RD,38.835486,-77.425208,,,,
4055,RBLE1,RIVER BIRCH @ LEGACY CI,RIVER BIRCH RD & LEGACY CI,38.948202,-77.419658,,,,
4056,RBLE4,RIVER BIRCH @ LEGACY CI,RIVER BIRCH RD & LEGACY CI,38.948033,-77.419821,,,,
4057,RBSM9,RIVER BIRCH @ SUTTERS MILL,RIVER BIRCH RD & LEGACY CI,38.947933,-77.417958,,,,
4058,RBMF9,RIVER BIRCH @ MCNAIR FARMS,RIVER BIRCH RD & MCNAIR FARMS DR,38.948611,-77.416594,,,,
4059,COCE9,COPPERMINE RD @ CENTREVILLE RD,,38.948833,-77.415546,,,,
4060,RBSM1,RIVER BIRCH @ SUTTERS MILL,RIVER BIRCH RD & SUTTERS MILL DR,38.948085,-77.418505,,,,
4061,WAEC1,WALNEY RD @ EAGLE CHASE,WALNEY RD & EAGLE CHASE RD,38.877952,-77.434067,,,,
4062,WAEC3,WALNEY RD @ EAGLE CHASE,WALNEY RD & EAGLE CHASE RD,38.877319,-77.433532,,,,
4065,MAKE2,MACHEN @ KENDRA,MACHEN RD & KENDRA,38.831352,-77.437174,,,,
4067,TPTP1,TRINITY PW @ TRINITY PL,,38.840388,-77.435789,,,,
4069,LRRO3,LITTLE ROCKY RUN @ ROCKDALE,LITTLE ROCKY RUN CI & ROCKDALE CT,38.834793,-77.42259,,,,
4073,SGMA3,SAINT GERMAIN @ MACHEN,SAINT GERMAIN DR & MACHEN RD,38.837002,-77.44157,,,,
4075,MAMU4,MACHEN @ MULTIPLEX,MACHEN RD & MULTIPLEX DR,38.830923,-77.436722,,,,
4076,SPSL3,SULLY PARK @ SULLY LAKE,SULLY PARK DR & SULLY LAKE DR,38.855633,-77.454188,,,,
4077,BIGO2,BILLINGSGATE @ GOTHWAITE,BILLINGSGATE LA & GOTHWAITE DR,38.841844,-77.457652,,,,
4078,BIWY4,BILLINGSGATE @ WYCOMBE,BILLINGSGATE LA & WYCOMBE ST,38.843099,-77.457847,,,,
4079,SPSL4,SULLY PARK @ SULLY LAKE,SULLY PARK DR & SULLY LAKE DR,38.85574,-77.453973,,,,
4080,GALJ3,GALESBURY @ TABSCOTT,GALESBURY LA & LEE JACKSON MEMORIAL HY,38.887856,-77.418104,,,,
4083,LJHO1,LEE JACKSON MEMORIAL@ HIGHLAND OAKS,LEE JACKSON MEMORIAL HY & HIGHLAND OAKS DR,38.879958,-77.394042,,,,
4084,SUWE1,SULLYFIELD @ WESTMORE,SULLYFIELD CI & WESTMORE ST,38.892203,-77.434072,,,,
4087,STBS2,STRINGFELLOW @ BRANDY STATION,STRINGFELLOW RD & BRANDY STATION RD,38.89261,-77.40397,,,,
4089,STCK9,STRINGFELLOW @ CROSS KEYS,STRINGFELLOW RD & CROSS KEYS CT,38.89277,-77.40347,,,,
4090,LJCE1,LEE JACKSON MEMORIAL @ CENTERVIEW,LEE JACKSON MEMORIAL HY & CENTERVIEW DR,38.894961,-77.43258,,,,
4092,PTWA4,POPLAR TREE RD @ WALNEY,POPLAR TREE RD & WALNEY RD,38.870403,-77.428699,,,,
4093,PTWA1,POPLAR TREE RD @ WALNEY,POPLAR TREE RD & WALNEY RD,38.870506,-77.428935,,,,
4094,FLRP3,PNR ST PAUL CHUNG CHURCH,FAIR LAKES PW & RIPPLING POND DR,38.861316,-77.403051,,,,
4096,FLRP1,PNR ST PAUL CHUNG CHURCH,FAIR LAKES PW & RIPPLING POND DR,38.861711,-77.40241,,,,
4099,STAP4,STONE @ AWBREY PATENT,STONE RD & AWBREY PATENT DR,38.850165,-77.452395,,,,
4104,LERU4,LEGATO @ RUSH,LEGATO RD & RUSH,38.865015,-77.3652,,,,
4105,LELE3,LEGATO @ LEGATO,LEGATO RD & LEGATO RD,38.864871,-77.363385,,,,
4106,AVCO4,AVION PW @ CONCORDE,AVION PW & CONCORDE PW,38.90906,-77.451298,,,,
4107,AVST1,AVION PW @ STONECROFT,AVION PW & STONECROFT BV,38.90768,-77.456953,,,,
4108,BUBW2,BUSHMAN @ BRADFORD WOOD,BUSHMAN DR & BRADFORD WOOD CT,38.87537,-77.29442,,,,
4109,APFC2,AWBREY PATENT @ FOUR CHIMNEY,AWBREY PATENT DR & FOUR CHIMNEY DR,38.848361,-77.447799,,,,
4110,APGR4,AWBREY PATENT @ GREAT ROCKY RN,AWBREY PATENT DR & GREAT ROCKY RN,38.847268,-77.445284,,,,
4111,APTH1,AWBREY PATENT @ THORNDYKE,AWBREY PATENT DR & THORNDYKE CT,38.8497,-77.449872,,,,
4112,AVCO1,AVION PW @  CONCORDE,AVION PW & CONCORDE PW,38.908281,-77.449653,,,,
4113,AVVM1,AVION PW @ VIRGINIA MALLORY,AVION PW & VIRGINIA MALLORY DR,38.908043,-77.45466,,,,
4115,BLCV1,BLAKE @ CYRANDALL VALLEY,BLAKE LA & CYRANDALL VALLEY RD,38.8764,-77.28907,,,,
4116,BLCV3,BLAKE @ CYRANDALL VALLEY,BLAKE LA & CYRANDALL VALLEY RD,38.87624,-77.28965,,,,
4117,BLED1,BLAKE @ EDGELEA,BLAKE LA & EDGELEA RD,38.8763,-77.28747,,,,
4118,BLOC1,BLAKE @ OAKTON CREST,BLAKE LA & OAKTON CREST CT,38.87592,-77.28443,,,,
4119,BLSU3,BLAKE @ SUTTON,BLAKE LA & SUTTON RD,38.87562,-77.28431,,,,
4120,BLSU4,BLAKE @ SUGAR,BLAKE LA & SUGAR LA,38.87598,-77.28585,,,,
4121,BRBP3,BRADDOCK @ BIRCHLEAF PARK,BRADDOCK RD & BIRCHLEAF PARK CT,38.851213,-77.443823,,,,
4122,BRBT2,BRADDOCK @ BENT TREE,BRADDOCK RD & BENT TREE CI,38.835282,-77.420682,,,,
4123,BROC4,BRADDOCK @ OLD CENTREVILLE RD,BRADDOCK RD & OLD CENTREVILLE RD,38.836086,-77.428571,,,,
4124,BROH9,BRADDOCK @ ORCHARD HILL,BRADDOCK RD & ORCHARD HILL LA,38.832555,-77.413601,,,,
4125,BRVI3,BRADDOCK @ VILLAGE CENTER,BRADDOCK RD & VILLAGE CENTER DR,38.853851,-77.447979,,,,
4127,BUAL3,BUSHMAN @ APPALACHIAN,BUSHMAN DR & APPALACHIAN RD,38.87178,-77.29692,,,,
4128,BUAL9,BUSHMAN @ APPALACHIAN,BUSHMAN DR & APPALACHIAN RD,38.87192,-77.29512,,,,
4129,BUBO1,BUSHMAN @ BORGE,BUSHMAN DR & BORGE ST,38.87375,-77.30056,,,,
4130,BUBO4,BUSHMAN @ BORGE,BUSHMAN DR & BORGE ST,38.87357,-77.30041,,,,
4131,BUEB2,BUSHMAN @ EBENSHIRE,BUSHMAN DR & EBENSHIRE CT,38.87409,-77.29382,,,,
4132,BUOC4,BUSHMAN @ OAKWOOD CHASE,BUSHMAN DR & OAKWOOD CHASE CT,38.87601,-77.29408,,,,
4134,BUSS3,BUSHMAN @ SUMMIT SQ,BUSHMAN DR & SUMMIT SQUARE DR,38.87277,-77.29928,,,,
4135,BUVA2,BUSHMAN @ VALENTINO,BUSHMAN DR & VALENTINO DR,38.873,-77.29933,,,,
4136,BUVA9,BUSHMAN @ VALENTINO,BUSHMAN DR & VALENTINO DR,38.87222,-77.29474,,,,
4137,CBBA1,CHAIN BRIDGE @ BABCOCK,CHAIN BRIDGE RD & BABCOCK RD,38.88884,-77.28139,,,,
4138,CBBA4,CHAIN BRIDGE @ BABCOCK,CHAIN BRIDGE RD & BABCOCK RD,38.88844,-77.28155,,,,
4139,CBCO3,CHAIN BRIDGE @ COURTHOUSE RD,CHAIN BRIDGE RD & COURTHOUSE RD,38.88265,-77.29305,,,,
4142,CBJE2,CHAIN BRIDGE @ JERMANTOWN,CHAIN BRIDGE RD & JERMANTOWN RD,38.87735,-77.30573,,,,
4143,CBMI1,CHAIN BRIDGE @ MILLER RD,CHAIN BRIDGE RD & MILLER RD,38.88063,-77.30174,,,,
4144,CBMI3,CHAIN BRIDGE @ MILLER RD,CHAIN BRIDGE RD & MILLER RD,38.88024,-77.30193,,,,
4145,CBOG1,CHAIN BRIDGE @ OAKTON GLEN,CHAIN BRIDGE RD & OAKTON GLEN DR,38.88448,-77.28875,,,,
4146,CBOG4,CHAIN BRIDGE @ OAKTON GLEN,CHAIN BRIDGE RD & OAKTON GLEN DR,38.88435,-77.28852,,,,
4147,CBOM1,CHAIN BRIDGE @ OAKTON MANOR,CHAIN BRIDGE RD & OAKTON MANOR CT,38.88256,-77.2973,,,,
4148,CBOM4,CHAIN BRIDGE @ OAKTON MANOR,CHAIN BRIDGE RD & OAKTON MANOR CT,38.88236,-77.29705,,,,
4149,CBOM9,CHAIN BRIDGE @ OAKTON MEADOWS,CHAIN BRIDGE RD & OAKTON MEADOWS CT,38.88103,-77.3005,,,,
4150,CBOV2,CHAIN BRIDGE @ OAK VALLEY,CHAIN BRIDGE RD & OAK VALLEY DR,38.88572,-77.28561,,,,
4151,CBOV4,CHAIN BRIDGE @ OAK VALLEY,CHAIN BRIDGE RD & OAK VALLEY DR,38.88595,-77.28471,,,,
4152,CBPA2,CHAIN BRIDGE @ PALMER,CHAIN BRIDGE RD & HUNTER MILL RD,38.8813,-77.30041,,,,
4153,CBPH4,CHAIN BRIDGE @ PRESTON HEIGHTS,CHAIN BRIDGE RD & PRESTON HEIGHTS CT,38.8776,-77.30522,,,,
4154,CBSU4,CHAIN BRIDGE @ SUTTON,CHAIN BRIDGE RD & SUTTON RD,38.88785,-77.28229,,,,
4155,CBWG1,CHAIN BRIDGE @ WHITE GRANITE,CHAIN BRIDGE RD & WHITE GRANITE DR,38.87563,-77.30684,,,,
4156,CCFM4,COUNTRY CREEK @ FAIRFAX METRO LA,COUNTRY CREEK RD & FAIRFAX METRO LA,38.878622,-77.275568,,,,
4157,CCLE9,CONFERENCE CENTER DR @ LEE RD,,38.88161,-77.455117,,,,
4158,CCPA3,CONFERENCE CENTER DR @ PARKSTONE,CONFERENCE CENTER DR & PARKSTONE DR,38.874856,-77.463238,,,,
4159,CCPA9,CONFERENCE CENTER DR @ PARKSTONE,CONFERENCE CENTER DR & PARKSTONE DR,38.876012,-77.465336,,,,
4160,CCRE3,COUNTRY CREEK @ RENSSELAER,COUNTRY CREEK RD & RENSSELAER CT,38.87818,-77.278922,,,,
4161,CCSL2,COUNTRY CREEK @ SHAWN LEIGH,COUNTRY CREEK RD & SHAWN LEIGH DR,38.878362,-77.276749,,,,
4162,CCSN2,COUNTRY CREEK @ SUTTON OAKS,COUNTRY CREEK RD & SUTTON OAKS LA,38.878368,-77.278977,,,,
4163,CCST1,CONFERENCE CENTER DR @ STONECROFT,CONFERENCE CENTER DR & STONECROFT BV,38.88029,-77.459049,,,,
4164,CCST2,CONFERENCE CENTER DR @ STONECROFT,CONFERENCE CENTER DR & STONECROFT BV,38.879184,-77.462053,,,,
4165,CCST3,CONFERENCE CENTER DR @ STONECROFT,CONFERENCE CENTER DR & STONECROFT BV,38.875763,-77.456456,,,,
4166,CEBR2,CENTREWOOD @ BRENHAM,CENTREWOOD DR & BRENHAM DR,38.834422,-77.4369,,,,
4168,CFFE1,CENTREVILLE FMS RD @ LEE HY,,38.840511,-77.411428,,,,
