stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
383,53021,"Military Road, NB @ N Old Glebe Road, NS",38.925182,-77.122446,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53021#realTimeResultsContainer"
384,53226,"Military Road, SB @ N Old Glebe Road, FS",38.925086,-77.122595,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53226#realTimeResultsContainer"
385,53020,"Military Road, NB @ 38th Street N, FS",38.923139,-77.121447,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53020#realTimeResultsContainer"
386,53228,"Military Road, SB @ 38th Street N, NS",38.922915,-77.121512,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53228#realTimeResultsContainer"
387,53019,"Military Road, NB @ 37th Street N, NS",38.920782,-77.120507,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53019#realTimeResultsContainer"
388,53018,"Military Road, NB @ 36th Road N, NS",38.919340,-77.119693,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53018#realTimeResultsContainer"
389,53231,"Military Road, SB @ 36th Road N, FS",38.919550,-77.119993,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53231#realTimeResultsContainer"
390,53232,"Military Road, SB @ 35th Street N, NS",38.916186,-77.119123,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53232#realTimeResultsContainer"
391,53017,"Military Road, NB @ N Quincy Street, NS",38.915703,-77.118900,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53017#realTimeResultsContainer"
392,53016,"Military Road, NB @ 31st Street N, NS",38.913041,-77.115238,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53016#realTimeResultsContainer"
393,53233,"Military Road, SB @ 31st Street N, NS",38.913063,-77.115617,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53233#realTimeResultsContainer"
394,53234,"Military Road, SB @ 30th Street N, FS",38.911204,-77.113525,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53234#realTimeResultsContainer"
395,53015,"Military Road, NB @ Beechwood Circle, NS",38.910806,-77.113111,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53015#realTimeResultsContainer"
396,53014,"Military Road, NB @ across from Church, MB",38.908606,-77.111117,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53014#realTimeResultsContainer"
397,53235,"Military Road, SB @ front of Church, MB",38.908593,-77.111433,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53235#realTimeResultsContainer"
398,53013,"Military Road, NB @ N Marcey Road, NS",38.907457,-77.110472,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53013#realTimeResultsContainer"
399,53236,"Military Road, SB @ N Marcey Road, NS",38.907723,-77.110813,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53236#realTimeResultsContainer"
400,53237,"Military Road, SB @ 26th Road N, NS",38.906576,-77.110309,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53237#realTimeResultsContainer"
401,53012,"Military Road, NB @ 26th Street N, NS",38.905884,-77.109595,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53012#realTimeResultsContainer"
