stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3132,3132,Old Fayetteville Rd at NC 54 (SECU),,35.91862,-79.09867,cht,
3133,3133,Smith Level Rd at FPG School,,35.90041,-79.07365,cht,
3134,3134,Carrboro Plaza Park-and-Ride Lot,,35.91597,-79.09684,cht,
3135,3135,Old Fayetteville Rd at Berkshire Manor West,,35.91446,-79.09578,cht,
3136,3136,Old Fayetteville Rd at W Poplar Ave,,35.9124,-79.09414,cht,
3137,3137,Old Fayetteville Rd at Autumn Woods,,35.90729,-79.09216,cht,
3138,3138,Jones Ferry Park-and-Ride,,35.901517,-79.090333,cht,
3139,3139,Old Fayetteville Rd at Poplar Place,,35.90319,-79.09093,cht,
3140,3140,Jones Ferry Rd at Willow Creek Professional Center,,35.90497,-79.08906,cht,
3141,3141,Jones Ferry Rd at Willow Creek Shopping Center,,35.90532,-79.08789,cht,
3142,3142,Jones Ferry Rd at Ashford Apts,,35.90531,-79.08752,cht,
3143,3143,NC 54 West at Carolina Apartments,,35.90352,-79.08201,cht,
3144,3144,S Greensboro St at Municipal Park,,35.90939,-79.07235,cht,
3145,3145,Jones Ferry at PTA Thrift Store,,35.909816,-79.075304,cht,
3146,3146,Merritt Mill Rd at Roberts St,,35.90136,-79.07232,cht,
3147,3147,Smith Level Rd at BPW Club Rd,,35.89576,-79.07612,cht,
3148,3148,Westminster Dr at Martin Luther King Jr Blvd,,35.9613,-79.05672,cht,
3149,3149,Eubanks Rd Park-and-Ride Lot,,35.97005,-79.07113,cht,
3150,3150,Westminster Dr at Traffic Circle,,35.960271,-79.053029,cht,
3151,3151,BPW Club Rd at Orchard Ln,,35.89552,-79.07761,cht,
3152,3152,Highland Hills at Turnaround Circle,,35.893466,-79.085411,cht,
3153,3153,Tar Hill Dr at BPW Club Rd,,35.895,-79.0856,cht,
3154,3154,BPW Club Rd at The Villages,,35.895463,-79.079544,cht,
3155,3155,BPW Club Rd at Sterling Bluff,,35.895585,-79.079993,cht,
3156,3156,Weaver Dairy Rd at Kensington Trace,,35.96397,-79.04788,cht,
3157,3157,Merritt Mill Rd at Lincoln Center,,35.90282,-79.06675,cht,
3158,3158,Highland Hills at Tennis Courts,,35.895877,-79.082248,cht,
3159,3159,Brookgreen Dr at Market St,,35.881833,-79.066712,cht,
3160,3160,Bowles Dr at Craige Dorm,,35.90301,-79.04433,cht,
3161,3161,Ridge Rd at Ehringhaus Hall,,35.904116,-79.044178,cht,
3162,3162,Ridge Rd at Stadium Dr,,35.90614,-79.04483,cht,
3163,3163,Stadium Dr at Ridge Rd,,35.90678,-79.0447,cht,
3164,3164,Banks Dr at Weaver Dairy Rd,,35.96362,-79.05562,cht,
3165,3165,Weaver Dairy Rd at Timberlyne Rd,,35.96384,-79.04787,cht,
3166,3166,Parkview Crescent at Stone Bridge,,35.885421,-79.067651,cht,
3167,3167,Parkside Cir at Edgewater Cir,,35.884644,-79.067747,cht,
3168,3168,Highgrove Dr at Parkview Crescent,,35.885818,-79.069694,cht,
3169,3169,Highland Hills at Welcome Center,,35.895851,-79.083013,cht,
3170,3170,Rock Haven Rd at Renee Lynn Ct,,35.891783,-79.080144,cht,
3171,3171,Highland Hills at Tar Hill Dr,,35.89499,-79.08541,cht,
3172,3172,Rock Haven Rd at Rock Creek West,,35.89193,-79.08316,cht,
3173,3173,Rock Haven Rd at Smith Level Rd,,35.89189,-79.08005,cht,
3174,3174,Southern Village Park-and-Ride Lot,,35.878805,-79.066271,cht,
3175,3175,Kildaire Rd at Market St,,35.880125,-79.065658,cht,
