stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4096,4096,MIDDLEBROOK RD & LOCBURY DR,,39.182966,-77.271118,,,,
4098,4098,MIDDLEBROOK RD & GERM COMMONS SC,,39.18176,-77.270075,,,,
4104,4104,MIDDLEBROOK RD & CRYSTAL ROCK DR,,39.176545,-77.264114,,,,
4110,4110,MIDDLEBROOK RD & CROSS RIDGE DR,,39.174841,-77.259485,,,,
4112,4112,MIDDLEBROOK RD & RIDGECREST DR,,39.175062,-77.257713,,,,
4114,4114,MIDDLEBROOK RD & WARING STATION RD,,39.175185,-77.254401,,,,
4116,4116,MIDDLEBROOK RD & OSERVATION DR,,39.17829,-77.241919,,,,
4118,4118,MIDDLEBROOK RD & FREDERICK AVE,,39.181102,-77.238963,,,,
4122,4122,MIDDLEBROOK RD & WARING STATION RD,,39.175475,-77.253998,,,,
4124,4124,MIDDLEBROOK RD & RIDGECREST DR,,39.175452,-77.25723,,,,
4126,4126,MIDDLEBROOK RD & WHITE SADDLE DR (W,,39.175141,-77.259559,,,,
4128,4128,MIDDLEBROOK RD & FETLOCK DR,,39.175367,-77.26192,,,,
4130,4130,MIDDLEBROOK RD & CRYSTAL ROCK DR,,39.176834,-77.263982,,,,
4136,4136,MIDDLEBROOK RD & GERM COMMONS SC,,39.182193,-77.269987,,,,
4138,4138,MIDDLEBROOK RD & LOCBURY DR,,39.183312,-77.271084,,,,
4140,4140,MONROE ST & ARGYLE ST,,39.077747,-77.151684,,,,
4142,4142,MONROE ST & MT VERNON PL,,39.07899,-77.150979,,,,
4144,4144,MONROE ST & FLEET ST,,39.080458,-77.150123,,,,
4146,4146,MONROE ST & JEFFERSON ST,,39.081665,-77.149383,,,,
4148,4148,MONROE ST & MONROE PL,,39.083358,-77.148954,,,,
4150,4150,MONROE ST & MONROE PL,,39.083106,-77.148989,,,,
4152,4152,MONROE ST & JEFFERSON ST,,39.081625,-77.149552,,,,
4154,4154,MONROE ST & FLEET ST,,39.080539,-77.150206,,,,
4156,4156,MONROE ST & MT VERNON PL,,39.079169,-77.150974,,,,
4158,4158,MONROE ST & ARGYLE ST,,39.077766,-77.151758,,,,
4160,4160,MONROE ST & CABIN JOHN PKWY,,39.07572,-77.152958,,,,
4162,4162,WESTFIELD SHOPPING CENTER & MONTGOM,,39.026346,-77.145918,,,,
4168,4168,W MONTGOMERY AVE & ADCLARE RD,,39.08566,-77.168937,,,,
4170,4170,W MONTGOMERY AVE & ABERDEEN RD,,39.085473,-77.166861,,,,
4172,4172,W MONTGOMERY AVE & LAIRD ST,,39.084719,-77.162063,,,,
4174,4174,W MONTGOMERY AVE & WALL ST,,39.084498,-77.160759,,,,
4176,4176,W MONTGOMERY AVE & WILLIAMS ST,,39.084186,-77.15903,,,,
4178,4178,W MONTGOMERY AVE & ADAMS ST,,39.084132,-77.154954,,,,
4182,4182,W MONTGOMERY AVE & WASHINGTON ST,,39.084232,-77.153389,,,,
4184,4184,W MONTGOMERY AVE & ADAMS ST,,39.084201,-77.154688,,,,
4186,4186,W MONTGOMERY AVE & FOREST AVE,,39.084319,-77.159337,,,,
4188,4188,W MONTGOMERY AVE & LAIRD ST,,39.084873,-77.162319,,,,
4190,4190,W MONTGOMERY AVE & ABERDEEN RD,,39.085554,-77.166919,,,,
4192,4192,W MONTGOMERY AVE & ADCLARE RD,,39.085845,-77.169654,,,,
4194,4194,OBSERVATION DR & MONTGOMERY COLLEGE,,39.187741,-77.249203,,,,
4200,4200,MONTGOMERY VILLAGE AVE & FREDERICK,,39.152297,-77.212096,,,,
4202,4202,MONTGOMERY VILLAGE AVE & RUSSELL AV,,39.153408,-77.210608,,,,
4204,4204,MONTGOMERY VILLAGE AVE & LOST KNIFE,,39.158452,-77.203603,,,,
4206,4206,MONTGOMERY VILLAGE AVE & LAKESHORE,,39.161203,-77.201552,,,,
4208,4208,MONTGOMERY VILLAGE AVE & WALKERS CH,,39.165591,-77.204583,,,,
4210,4210,MONTGOMERY VILLAGE AVE & CENTER STA,,39.167822,-77.204861,,,,
4212,4212,MONTGOMERY VILLAGE AVE & WHETSTONE,,39.170538,-77.203966,,,,
4213,4213,MONTGOMERY VILLAGE AVE & CENTERWAY,,39.172269,-77.203523,,,,
4216,4216,MONTGOMERY VILLAGE AVE & CLUB HOUSE,,39.174136,-77.203426,,,,
4218,4218,MONTGOMERY VILLAGE AVE & BRASSIE PL,,39.177518,-77.202579,,,,
4220,4220,MONTGOMERY VILLAGE AVE & STEWARDTOW,,39.17933,-77.201025,,,,
4222,4222,MONTGOMERY VILLAGE AVE & GREENSIDE,,39.181034,-77.199928,,,,
4224,4224,MONTGOMERY VILLAGE AVE & DUFFER WAY,,39.183113,-77.198844,,,,
4226,4226,MONTGOMERY VILLAGE AVE & MEADOWCROF,,39.184819,-77.198659,,,,
4228,4228,MONTGOMERY VILLAGE AVE & HOB HILL W,,39.186625,-77.198223,,,,
4230,4230,MONTGOMERY VILLAGE AVE & ARROWHEAD,,39.187702,-77.197373,,,,
4232,4232,MONTGOMERY VILLAGE AVE & ASPENWOOD,,39.189167,-77.195252,,,,
4234,4234,MONTGOMERY VILLAGE AVE & WIGHTMAN R,,39.190484,-77.192362,,,,
4236,4236,MONTGOMERY VILLAGE AVE & ASPENWOOD,,39.189232,-77.195712,,,,
4238,4238,MONTGOMERY VILLAGE AVE & SHADOW OAK,,39.188167,-77.197343,,,,
4240,4240,MONTGOMERY VILLAGE AVE & APPLE RIDG,,39.187025,-77.198373,,,,
4242,4242,MONTGOMERY VILLAGE AVE & MEADOWCROF,,39.184794,-77.198977,,,,
4244,4244,MONTGOMERY VILLAGE AVE & DUFFER WAY,,39.183568,-77.199085,,,,
4246,4246,MONTGOMERY VILLAGE AVE & GREENSIDE,,39.180969,-77.200335,,,,
