stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
5035,5035,Angier Ave at Pleasant Dr,,35.96362,-78.85662,,,0
5036,5036,Roxboro Rd at Markham Ave (north),,36.01065,-78.8915,,,0
5038,5038,Liberty St at Queen St,,35.99365,-78.89555,,,0
5039,5039,Fayetteville St at E Piedmont Ave,,35.98433,-78.89912,,,0
5042,5042,University Dr at Weymouth St,,35.96702,-78.94998,,,0
5043,5043,Holloway St at S Adams St,,35.988808,-78.852489,,,0
5044,5044,Duke St at Harper Pl,,36.006837,-78.905495,,,0
5045,5045,Roxboro Rd at Edgewood Dr,,36.02775,-78.89,,,0
5047,5047,Roxboro Rd at Markham Ave (south),,36.009347,-78.891827,,,0
5048,5048,Chapel Hill Rd at Pinecrest Rd,,35.97935,-78.9352,,,0
5050,5050,Fayetteville Rd at Herndon Rd,,35.90526,-78.937514,,,0
5051,5051,Audubon Lake Dr at Starling Ln,,35.909606,-78.947147,,,0
5054,5054,University Dr at Larchmont Dr,,35.960943,-78.962345,,,0
5055,5055,Gregson St at Englewood Ave,,36.01503,-78.90837,,,0
5056,5056,Lawson St at Sima Ave,,35.97452,-78.89097,,,0
5057,5057,Angier Ave at Driver St,,35.9821,-78.87797,,,0
5060,5060,Dearborn Dr at Bragtown Library,,36.037338,-78.871582,,,0
5061,5061,Wedgedale Ave at Lynn Rd,,35.98235,-78.84277,,,0
5063,5063,NC 54 at Residence Inn Blvd,,35.902743,-78.89819,,,0
5064,5064,Otis St at Red Oak Ave,,35.970147,-78.909488,,,0
5065,5065,Fayetteville St at ABC Store,,35.98483,-78.89897,,,0
5066,5066,Revere Rd at Haledon Cir,,35.902486,-78.911626,,,0
5067,5067,Mangum St at Geer St,,36.0039,-78.89463,,,0
5068,5068,Holloway St at Junction Rd,,35.990079,-78.857383,,,0
5069,5069,Holloway St at Walker's Garage,,35.981814,-78.822973,,,0
5070,5070,Snow Hill Rd at Snow Hill Dr,,36.104547,-78.873526,,,0
5071,5071,Lincoln St at Linwood Ave,,35.98068,-78.89592,,,0
5073,5073,Cheek Rd at Hardee St,,36.00483,-78.86823,,,0
5074,5074,Campus Walk Ave at Trinity Property,,36.00973,-78.95043,,,0
5075,5075,Milton Rd at Eno Valley,,36.08612,-78.91153,,,0
5078,5078,Trent Dr at Duke Hospital South,,36.004782,-78.934914,,,0
5079,5079,Buchanan Blvd at Trinity Ave,,36.00535,-78.91232,,,0
5080,5080,Fayetteville St at Econo Plaza,,35.96215,-78.9087,,,0
5081,5081,Trent Dr at Parking Deck,,36.00628,-78.93447,,,0
5084,5084,Old Farm Rd at JFK Towers,,36.0655,-78.90432,,,0
5085,5085,Cornwallis Rd at Roxboro St,,35.96552,-78.91977,,,0
5088,5088,S Alston Ave at Massey Ave,,35.97835,-78.89238,,,0
5089,5089,Duke St at Englewood Ave,,36.015543,-78.905404,,,0
5091,5091,E Club Blvd at Glenbrook St,,36.02387,-78.87682,,,0
5092,5092,Tower Blvd at Social Security Office,,35.97295,-78.95788,,,0
5093,5093,University Dr at South Square Mall,,35.965481,-78.957542,,,0
5094,5094,Lakewood Ave at Blackwell St,,35.987322,-78.907022,,,0
5097,5097,Roxboro Rd at Murray Ave,,36.0295,-78.89038,,,0
5099,5099,E Carver St at Patrick Henry Dr,,36.040489,-78.897792,,,0
5100,5100,3006 Weaver St,,35.963827,-78.914587,,,0
5101,5101,E Club Blvd at Thorne St,,36.020647,-78.884432,,,0
5102,5102,Shirley St at Crest St,,36.012601,-78.939748,,,0
5104,5104,Roxboro Rd at Smith Dr,,36.10128,-78.91017,,,0
5105,5105,Durham Regional Hospital,,36.038296,-78.89901,,,0
5106,5106,Erwin Rd at Research Dr,,36.008728,-78.942173,,,0
5110,5110,Fayetteville Rd at Wortley Dr,,35.933818,-78.91338,,,0
5111,5111,Lawson St at WG Pearson Cafeteria,,35.97642,-78.89943,,,0
5112,5112,Angier Ave at Commonwealth St,,35.97067,-78.86345,,,0
5113,5113,Blackwell St at Forest Hills Apts,,35.988702,-78.906694,,,0
5115,5115,Alston Ave at Old Holly Cross (out),,35.973833,-78.89409,,,0
5116,5116,Roxboro Rd at Ryan St,,36.057,-78.90312,,,0
5117,5117,Glenbrook St at Dubonnet Pl,,36.026391,-78.878737,,,0
5118,5118,MLK Pkwy at Lake Camp Rd,,35.942583,-78.918953,,,0
5119,5119,Roxboro Rd at Ellerbee St,,36.0214,-78.8898,,,0
