stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
datri,,D'Atri's Restaurant,Opposite to D'Atri's Restaurant,39.639527,-78.829425,,0,
statebarraks,,State Police Barracks,,39.639101,-78.830482,,0,
lowes,,Lowe's & Burton's Plaza,Stand on sidewalk visible to National Hwy,39.637941,-78.83318,,0,
kfc,,KFC,Stand on sidewalk visible to National Hwy,39.637025,-78.836919,,0,
dennys,,Denny's,Stand on sidewalk visible to National Hwy,39.636842,-78.838191,,0,
ljs,,Long John Silvers,Stand on sidewalk visible to National Hwy,39.636961,-78.844738,,0,
bowler,,The Bowler,Stand on sidewalk visible to National Hwy,39.63598,-78.844676,,0,
gabes,,Gabriel's,In Braddock Square,39.633024,-78.841187,,0,
lavalemartins,,Martin's LaVale,In Braddock Square,39.632545,-78.840822,,0,
kohls,,Kohl's,In Braddock Square,39.631954,-78.839746,,0,
ponderosa,,Ponderosa,,39.629756,-78.837847,,0,
econologe,,Econo Lodge,Stop along entrance to Country Club Mall,39.628513,-78.837692,,0,
ccm,,Country Club Mall Theaters,,39.627197,-78.833816,,0,
walmartmain,,Walmart Main Entrance,,39.624802,-78.835763,,0,
walmartgroc,,Walmart Grocery Entrance,,39.625559,-78.83564,,0,
webco,,Webco Federal Credit Union,Stand visible to Winchester Road,39.624501,-78.839856,,0,
mva,,MVA,Opposite MVA.,39.61483,-78.83962,,0,
tradwinds,,Tradewinds,Stop along Winchester Rd at Tradewinds entrance,39.60299,-78.83566,,0,
gardencity,,Garden City,Stop along Winchester Rd at Garden City entrance,39.60076,-78.83575,,0,
firtree,,Winchester Rd & Fir Tree Ln,,39.59612,-78.83456,,0,
53200,,Winchester Rd & McMullen Hwy,,39.593091,-78.833682,,0,
eagles,,Cresaptown Eagles,On sidewalk in front of Cresaptown Eagles near Sheetz,39.594338,-78.831225,,0,
waners,,Warner's Restaurant,On sidewalk in front of Warners Restaurant on McMullen Hwy,39.595784,-78.828358,,0,
creasppo,,Cresaptown Post Office,On McMullen Hwy in front of Post Office,39.596266,-78.82736,,0,
detention,,Allegany Detention Center,Stop along side of McMullen Hwy,39.599509,-78.824705,,0,
nbc,,North Branch Correction ,Stop along side of McMullen Hwy,39.60380, -78.82178,,0,
wci,,Western Correctional Institute,Stop along side of McMullen Hwy,39.60567, -78.82059,,0,
orcid,,McMullen Hwy & Orchid Ave ,Stop along side of McMullen Hwy,39.61123,-78.81092,,0,
shooters,,Shooter's,Stop along side of McMullen Hwy,39.612054,-78.805838,,0,
bgfvd,,Bowling Greene Fire Department,Stop along side of McMullen Hwy,39.62478,-78.80569,,0,
minor,,McMullen Hwy & Milnor Ave,Stop along side of McMullen Hwy,39.63047,-78.80407,,0,
goodwill,,Goodwill Industries,,39.630767,-78.799999,,0,
greendingle,,Green Dingle,Corner of Greene St and Gephart Dr,39.649069,-78.784085,,0,
golddingle,,Gold Dingle,Corner of Greene St and Fayette St,39.649422,-78.783758,,0,
