stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6ae00f49-4a67-4710-a713-77ba67b0dd3f,1130,"Oak Lane Nbnd","745",37.22514,-80.4362,,,0,,,
f09ff942-0339-4906-b7fa-07fba7c344b7,1126,"Harper Hall","732",37.22235,-80.42342,,,0,,,
bc6bc8aa-216f-4912-a0d8-04523bca1483,1109,"Eggleston Hall/Kent St","709",37.22803,-80.41969,,,0,,,
4f7ed9a3-55f0-4f0e-be4a-cfdb30029264,1219,"Heather/Tall Oaks Sbnd","",37.21746,-80.44829,,,0,,,
a6a24b85-b09d-4ed9-b049-0b17f8322035,1220,"Heather/Plymouth Sbnd","",37.21999,-80.44811,,,0,,,
744a71fe-cc59-4d92-8ee6-90b0306fde90,1627,"Main/Lee Nbnd","158",37.22878,-80.41336,,,0,,,
265c4cdd-b896-4a27-8252-45befa5c9605,1628,"Main St Post Office","159",37.22991,-80.41454,,,0,,,
6665246f-5daf-477d-a86c-90e95a04b39d,1112,"Alumni Mall Wbnd","712",37.23134,-80.41656,,,0,,,
c1dc504f-6eca-438f-8bcc-f5b741cda0d4,1623,"Main/Graves Nbnd","153",37.22235,-80.40636,,,0,,,
9efccf85-5c3e-4614-9cd6-6f9842afca68,1625,"Main/Eakin Nbnd","155",37.2251,-80.40937,,,0,,,
e09ffec6-7749-4590-ab1e-7a3b9fbde3e3,1612,"New Kent/Sussex Ebnd","142",37.21147,-80.39368,,,0,,,
efd0a932-547d-4ac1-bcb1-2337d9fc4a1c,1644,"Main/South Park Sbnd","813",37.20017,-80.40034,,,0,,,
8c3c27de-db86-4158-8100-f5138ec3eb5b,1636,"Industrial Park/Transportation Res Ebnd","804",37.1936,-80.40028,,,0,,,
058873d4-b38a-4713-aaf4-2270de1cb02e,1637,"Prosperity/Industrial Park Nbnd","805",37.19422,-80.39758,,,0,,,
545ff6b0-0601-408d-adb6-2000041ebbb8,1610,"Fairfax/New Kent Ebnd","140",37.20898,-80.39606,,,0,,,
2551d034-1efc-4936-bfaa-3c80cfda13e7,1611,"New Kent/Loudon Ebnd","141",37.20996,-80.39565,,,0,,,
5c45c395-4ff1-4a9d-afbb-60f41f03056d,1606,"Main/Faystone Sbnd","134",37.21957,-80.40324,,,0,,,
c8856ead-3acc-43c0-a4b9-c661e3a5d971,1607,"Gables Shopping Center","135",37.2156,-80.40087,,,0,,,
181f43c8-7350-44b2-856a-3f497eea9269,1608,"Main/Landsdowne Sbnd","137",37.2125,-80.39999,,,0,,,
f864ee5c-00d9-4b62-b054-3b57ae1b0437,1642,"Main/S Hill Sbnd","811",37.20723,-80.399,,,0,,,
68755638-95d2-4da8-abd2-a466e8326d32,1111,"Alumni Mall Ebnd","711",37.23119,-80.41642,,,0,,,
ed05d6ea-2217-453a-ba98-49748d85c3f1,1600,"Main/Roanoke Sbnd","127",37.2297,-80.41432,,,0,,,
550fb0fe-8275-4ae7-82b6-cd96c5702559,1601,"Blacksburg Municipal Building","129",37.22761,-80.4121,,,0,,,
ec2873b6-8577-45a0-bff5-c9f2a85f22c4,1626,"Main/Clay Nbnd","156",37.22676,-80.41118,,,0,,,
