shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23568,-80.42639,16,1654.79
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23803,-80.4266,19,1925.86
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23732,-80.42682,18,1845.06
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.24026,-80.42714,21,2179.15
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.23913,-80.42683,20,2050.06
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.24208,-80.42768,23,2387.27
fc9b28fa-bc1f-45dc-b437-bfc1ea24e35a,37.24132,-80.42737,22,2298.12
2f26405a-cad2-44df-825d-ebe1ccc9c460,37.22855,-80.41993,14,1256.08
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.17585,-80.41813,101,15653.02
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.17744,-80.41608,102,15905.81
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.17966,-80.41333,103,16252.41
e8fcee62-8ce7-4cc4-95a8-6b6a185f2562,37.2285,-80.42286,40,5760.22
acee7571-ce4d-4e4f-9635-743aa2590d9c,37.2388,-80.43564,21,2591.2
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.20109,-80.41074,36,4405.8
ec0cfac2-948b-4f86-89a7-99139111ce80,37.22531,-80.44513,32,3375.46
3613f8fa-ff9b-42b7-9837-0240c9dbca32,37.18893,-80.40739,55,6559.36
a3e0a9ca-519e-46bb-8d72-849b8761e92e,37.23134,-80.41656,54,6165.66
3c0c60ac-f8ef-450a-86dc-1313cdf03b2e,37.20752,-80.39388,40,4511.76
3c0c60ac-f8ef-450a-86dc-1313cdf03b2e,37.20866,-80.39456,41,4651.73
e8fcee62-8ce7-4cc4-95a8-6b6a185f2562,37.2285,-80.42286,0,0
e8fcee62-8ce7-4cc4-95a8-6b6a185f2562,37.22645,-80.42529,3,319.22
e8fcee62-8ce7-4cc4-95a8-6b6a185f2562,37.2289,-80.42745,4,652.02
5e0e3cd6-48e9-42e6-a8ad-9cf64736bb39,37.2289,-80.42745,5,652.35
c6486790-7229-4c5c-917c-1dd724202c6e,37.23382,-80.42281,83,10046.06
af28b4ce-a18f-46a6-8adc-f78736cff55d,37.19713,-80.40028,30,6027.01
b2430e2d-e350-4572-bd4c-4f87d8b6ae40,37.2226,-80.44999,15,1479.41
b2430e2d-e350-4572-bd4c-4f87d8b6ae40,37.22386,-80.44842,17,1729.35
fa3aa891-9c84-4f0e-8ca0-98379291938f,37.21856,-80.4537,34,3803.52
2f26405a-cad2-44df-825d-ebe1ccc9c460,37.23924,-80.39818,41,4363.04
257f44ff-e88d-4de9-8243-5d60cfc37218,37.23161,-80.43332,81,9090.83
2f26405a-cad2-44df-825d-ebe1ccc9c460,37.23971,-80.39851,42,4422.29
2f26405a-cad2-44df-825d-ebe1ccc9c460,37.24001,-80.39853,43,4455.43
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.1662,-80.42459,79,12816.3
18198cf5-0f58-4aaf-9923-bc1d1a8546ce,37.16642,-80.42376,80,12893.63
b2430e2d-e350-4572-bd4c-4f87d8b6ae40,37.22583,-80.44286,20,2272.33
b2430e2d-e350-4572-bd4c-4f87d8b6ae40,37.22619,-80.44172,21,2380.7
4080f024-0d3a-41a9-a896-09caaae627dc,37.22908,-80.42031,1,132.44
4080f024-0d3a-41a9-a896-09caaae627dc,37.22939,-80.42062,2,176.41
4080f024-0d3a-41a9-a896-09caaae627dc,37.22639,-80.42553,9,751.88
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.21847,-80.41929,25,2114.95
e85512ef-e779-4056-b481-9ff43d4ce0a7,37.21483,-80.41841,27,2527.29
1e9c74bf-1e21-42ca-aec4-1cd739aab59b,37.23146,-80.41601,1,303.12
1e9c74bf-1e21-42ca-aec4-1cd739aab59b,37.22144,-80.4053,113,20731.98
af28b4ce-a18f-46a6-8adc-f78736cff55d,37.19386,-80.39758,22,5454.55
