stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.2873,147,-157.834,147,http://hea.thebus.org/nextbus.asp?s=147,,,KALAKAUA AVE + ENA RD,0,
21.293,144,-157.8368,144,http://hea.thebus.org/nextbus.asp?s=144,,,KALAKAUA AVE + MAKALOA ST,0,
21.2907,145,-157.8358,145,http://hea.thebus.org/nextbus.asp?s=145,,,KALAKAUA AVE + KAPIOLANI BL,0,
21.2966,142,-157.837,142,http://hea.thebus.org/nextbus.asp?s=142,,,KALAKAUA AVE + S KING ST,0,
21.2955,143,-157.8369,143,http://hea.thebus.org/nextbus.asp?s=143,,,KALAKAUA AVE + OPP PHILIP ST,0,
21.2984,140,-157.84,140,http://hea.thebus.org/nextbus.asp?s=140,,,S KING ST + KEEAUMOKU ST,0,
21.2977,141,-157.8382,141,http://hea.thebus.org/nextbus.asp?s=141,,,S KING ST + KAHEKA ST,0,
21.2934,999,-157.8432,999,http://hea.thebus.org/nextbus.asp?s=999,,,KAPIOLANI BL + KEEAUMOKU ST,0,
21.2838,148,-157.8312,148,http://hea.thebus.org/nextbus.asp?s=148,,,KUHIO AVE + OPP NAMAHANA ST,0,
21.3974,4505,-158.0347,4505,http://hea.thebus.org/nextbus.asp?s=4505,,,ANONUI ST + ANOIKI ST,0,
21.3969,4504,-158.032,4504,http://hea.thebus.org/nextbus.asp?s=4504,,,ANONUI ST + OPP KUPUOHI ST,0,
21.3942,4506,-158.0141,4506,http://hea.thebus.org/nextbus.asp?s=4506,,,LUMIAINA ST + MANAGERS DR,0,
21.347,4501,-157.9613,4501,http://hea.thebus.org/nextbus.asp?s=4501,,,CENTRAL AVE + BUILDING 1453,0,
21.3532,4500,-157.9386,4500,http://hea.thebus.org/nextbus.asp?s=4500,,,NORTH RD + OPP MAKALAPA RD,0,
21.3945,4503,-158.0323,4503,http://hea.thebus.org/nextbus.asp?s=4503,,,KUPUOHI ST + MAUELE ST,0,
21.3925,4502,-158.0332,4502,http://hea.thebus.org/nextbus.asp?s=4502,,,KUPUOHI ST + OPP POLINA PL,0,
21.3881,4509,-157.9074,4509,http://hea.thebus.org/nextbus.asp?s=4509,,,HALAWA HEIGHTS RD + OPP FERNIDGE PL,0,
21.4006,4508,-158.0117,4508,http://hea.thebus.org/nextbus.asp?s=4508,,,LUMIAINA ST + KUKULA ST,0,
21.3222,120,-157.8593,120,http://hea.thebus.org/nextbus.asp?s=120,,,LILIHA ST  + HOLOKAHANA LN,0,
