stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
8079,8079,Glenwood Ave at Washington St,,35.79319,-78.64658,cat,
8080,8080,Glenwood Ave at Jefferson St,,35.79507,-78.64628,cat,
8081,8081,Glenwood Ave at Cole St,,35.79686,-78.64624,cat,
8082,8082,Glenwood Ave at Harvey St,,35.80058,-78.64602,cat,
8084,8084,Whitaker Mill Rd at Glenwood Ave,,35.80423,-78.64504,cat,
8085,8085,Whitaker Mill Rd at Sunset Dr,,35.80498,-78.64248,cat,
8087,8087,Whitaker Mill Rd at Bickett Blvd,,35.80565,-78.64117,cat,
8088,8088,Whitaker Mill Rd at Sunrise Ave,,35.80646,-78.6389,cat,
8089,8089,Whitaker Mill Rd at Reaves Dr,,35.80712,-78.63721,cat,
8090,8090,Whitaker Mill Rd at Pine Dr,,35.80752,-78.63616,cat,
8091,8091,Whitaker Mill Rd at Carson St,,35.80708,-78.63496,cat,
8092,8092,Whitaker Mill Rd at Center Rd,,35.80642,-78.63255,cat,
8093,8093,Whitaker Mill Rd at Bernard St,,35.80658,-78.63056,cat,
8094,8094,Whitaker Mill Rd at Pershing Rd,,35.80677,-78.62914,cat,
8095,8095,Whitaker Mill Rd at Hilton St,,35.80709,-78.62661,cat,
8096,8096,Wake Forest Rd at Whitaker Mill Rd,,35.80801,-78.62484,cat,
8097,8097,Wake Forest Rd at Mills St,,35.81031,-78.62564,cat,
8098,8098,Wake Forest Rd at McNeil St,,35.8135,-78.62652,cat,
8099,8099,Wake Forest Rd at Hodges St,,35.81509,-78.62598,cat,
8100,8100,Wake Forest Rd at Creekside Dr,,35.8166,-78.6252,cat,
8101,8101,Wake Forest Rd at Six Forks Rd,,35.81891,-78.62401,cat,
8102,8102,Shopping Plaza Wake Forest Rd at Six Forks Rd,,35.8204,-78.62264,cat,
8103,8103,Wake Forest Rd at Wake Towne Dr,,35.82285,-78.62249,cat,
8104,8104,Wake Forest Rd at Navaho Dr,,35.82753,-78.62014,cat,
8105,8105,Wake Forest Rd at Crown Ct,,35.81171,-78.626508,cat,
8106,8106,Wake Forest Rd at Mills St,,35.81025,-78.625977,cat,
8107,8107,Wake Forest Rd at St Albans Dr,,35.83051,-78.61838,cat,
8108,8108,Wake Forest Rd at Dresser Ct,,35.83253,-78.61746,cat,
8109,8109,Wake Forest Rd at Colby Dr,,35.83484,-78.61523,cat,
8110,8110,Wake Forest Rd at New Hope Church Rd,,35.83747,-78.61292,cat,
8111,8111,Falls of Neuse Rd at Ronald Dr,,35.83917,-78.61189,cat,
8112,8112,Falls of the Neuse Rd at Old Wake Forest Rd,,35.8415,-78.61183,cat,
8113,8113,Falls of Neuse Rd at Pacific Dr,,35.84291,-78.61293,cat,
8114,8114,Falls of Neuse Rd at Pemberton Dr,,35.84483,-78.61443,cat,
8115,8115,Falls of Neuse Rd at Cedarhurst Dr,,35.84852,-78.61476,cat,
8116,8116,Falls of Neuse Rd at Millbrook Rd,,35.85014,-78.61445,cat,
8117,8117,Falls of Neuse Rd at E Millbrook Rd,,35.85111,-78.61435,cat,
8118,8118,Falls of Neuse at Quail Ridge Rd,,35.85242,-78.61442,cat,
8119,8119,Falls of Neuse Rd at Fireside Dr,,35.85421,-78.61487,cat,
8120,8120,Falls of Neuse Rd at Ivy Ln,,35.85551,-78.61531,cat,
8121,8121,Falls of Neuse Rd at Fairfax Rd,,35.85722,-78.61591,cat,
8122,8122,Falls of Neuse Rd at Manassas Ct,,35.85949,-78.61706,cat,
8123,8123,Falls of Neuse Rd at Falls Church Rd,,35.8622,-78.61936,cat,
8124,8124,Falls Church Rd at Falls of Neuse Rd,,35.86267,-78.61828,cat,
8125,8125,Volant Dr at Carlos Dr,,35.86486,-78.61745,cat,
8126,8126,Carlos Dr at Falls of the Neuse Rd ,,35.86465,-78.61895,cat,
8127,8127,Falls of Neuse Rd at Ridgefield Dr,,35.86618,-78.62046,cat,
8128,8128,Falls of Neuse Rd at Bullard Ct,,35.86905,-78.62095,cat,
